SeasonType,Season,Team,PointsAllowed,TouchdownsScored,Sacks,SackYards,FumblesForced,FumblesRecovered,FumbleReturnTouchdowns,Interceptions,InterceptionReturnTouchdowns,BlockedKicks,Safeties,PuntReturnTouchdowns,KickReturnTouchdowns,BlockedKickReturnTouchdowns,FieldGoalReturnTouchdowns,Games,QuarterbackHits,TacklesForLoss,DefensiveTouchdowns,SpecialTeamsTouchdowns,FantasyPoints,PointsAllowedByDefenseSpecialTeams,AuctionValue,AuctionValuePPR,TwoPointConversionReturns,FantasyPointsFanDuel,FantasyPointsDraftKings,PlayerID,AverageDraftPosition,AverageDraftPositionPPR,TeamID
2,2023,NO,58.00,0.00,10.00,85.00,2.00,1.00,0.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3,15.00,12.00,0.00,0,22.00,58.00,,,0.00,22.00,22.00,69,,,22
1,2023,NO,327.00,3.00,34.00,244.00,8.00,11.00,1.00,18.00,1.00,1.00,0.00,1.00,0.00,0.00,0.00,17,76.00,70.00,2.00,1,143.00,315.00,,,0.00,145.00,145.00,69,,,22
1,2023,NYG,407.00,4.00,34.00,259.00,19.00,13.00,0.00,18.00,3.00,1.00,0.00,1.00,0.00,0.00,0.00,17,83.00,76.00,3.00,1,129.00,395.00,,,0.00,131.00,131.00,75,,,23
2,2023,NYG,72.00,0.00,4.00,14.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3,13.00,12.00,0.00,0,9.00,66.00,,,0.00,9.00,9.00,75,,,23
2,2023,NYJ,58.00,1.00,14.00,76.00,4.00,2.00,0.00,3.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,4,23.00,31.00,1.00,0,44.00,58.00,,,0.00,44.00,44.00,82,,,24
1,2023,NYJ,355.00,4.00,48.00,321.00,14.00,10.00,1.00,17.00,2.00,1.00,3.00,1.00,0.00,0.00,0.00,17,107.00,99.00,3.00,1,155.00,341.00,,,0.00,157.00,157.00,82,,,24
1,2023,PHI,428.00,3.00,43.00,255.00,16.00,8.00,1.00,9.00,2.00,1.00,1.00,0.00,0.00,0.00,0.00,17,106.00,73.00,3.00,0,98.00,416.00,,,0.00,100.00,100.00,26,,,26
2,2023,PHI,65.00,1.00,3.00,2.00,2.00,2.00,0.00,2.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,3,13.00,12.00,1.00,0,19.00,63.00,,,0.00,19.00,19.00,26,,,26
3,2023,PHI,32.00,0.00,4.00,30.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,6.00,6.00,0.00,0,3.00,30.00,,,0.00,3.00,3.00,26,,,26
3,2023,PIT,31.00,0.00,2.00,14.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1,3.00,5.00,0.00,0,1.00,31.00,,,0.00,3.00,3.00,28,,,28
2,2023,PIT,32.00,0.00,10.00,56.00,4.00,4.00,0.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3,15.00,17.00,0.00,0,38.00,32.00,,,0.00,38.00,38.00,28,,,28
1,2023,PIT,324.00,2.00,47.00,304.00,19.00,11.00,1.00,16.00,1.00,2.00,1.00,0.00,0.00,0.00,0.00,17,107.00,83.00,2.00,0,137.00,324.00,,,0.00,141.00,141.00,28,,,28
1,2023,SEA,402.00,3.00,47.00,298.00,13.00,8.00,0.00,11.00,3.00,1.00,0.00,0.00,0.00,0.00,0.00,17,97.00,99.00,3.00,0,107.00,402.00,,,0.00,109.00,109.00,90,,,30
2,2023,SEA,46.00,0.00,6.00,44.00,0.00,1.00,0.00,1.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,3,15.00,21.00,0.00,0,18.00,46.00,,,0.00,20.00,20.00,90,,,30
2,2023,SF,77.00,0.00,5.00,31.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3,12.00,14.00,0.00,0,5.00,77.00,,,0.00,5.00,5.00,93,,,31
1,2023,SF,298.00,1.00,48.00,307.00,10.00,6.00,0.00,22.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,17,122.00,80.00,1.00,0,141.00,292.00,,,0.00,141.00,141.00,93,,,31
3,2023,SF,77.00,0.00,5.00,21.00,4.00,2.00,0.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3,18.00,15.00,0.00,0,14.00,75.00,,,0.00,14.00,14.00,93,,,31
3,2023,TB,40.00,0.00,5.00,26.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,2,11.00,9.00,0.00,0,10.00,40.00,,,0.00,10.00,10.00,95,,,33
1,2023,TB,325.00,1.00,48.00,336.00,18.00,12.00,0.00,13.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,17,84.00,91.00,1.00,0,133.00,323.00,,,0.00,133.00,133.00,95,,,33
2,2023,TB,53.00,0.00,8.00,55.00,6.00,3.00,0.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3,18.00,10.00,0.00,0,28.00,53.00,,,0.00,28.00,28.00,95,,,33
2,2023,TEN,46.00,0.00,11.00,68.00,4.00,3.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3,14.00,17.00,0.00,0,24.00,46.00,,,0.00,24.00,24.00,34,,,34
1,2023,TEN,367.00,1.00,45.00,315.00,12.00,8.00,0.00,6.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,17,84.00,90.00,1.00,0,97.00,355.00,,,1.00,99.00,99.00,34,,,34
1,2023,WAS,518.00,0.00,39.00,170.00,9.00,10.00,0.00,8.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,17,84.00,86.00,0.00,0,57.00,486.00,,,0.00,59.00,59.00,97,,,35
2,2023,WAS,62.00,0.00,2.00,18.00,1.00,1.00,0.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3,11.00,7.00,0.00,0,13.00,62.00,,,0.00,13.00,13.00,97,,,35
