PlayerID,SeasonType,Season,Team,Number,Name,Position,PositionCategory,Played,Started,PassingAttempts,PassingCompletions,PassingYards,PassingCompletionPercentage,PassingYardsPerAttempt,PassingYardsPerCompletion,PassingTouchdowns,PassingInterceptions,PassingRating,PassingLong,PassingSacks,PassingSackYards,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,RushingLong,ReceivingTargets,Receptions,ReceivingYards,ReceivingYardsPerReception,ReceivingTouchdowns,ReceivingLong,Fumbles,FumblesLost,PuntReturns,PuntReturnYards,PuntReturnTouchdowns,KickReturns,KickReturnYards,KickReturnTouchdowns,SoloTackles,AssistedTackles,TacklesForLoss,Sacks,SackYards,QuarterbackHits,PassesDefended,FumblesForced,FumblesRecovered,FumbleReturnTouchdowns,Interceptions,InterceptionReturnTouchdowns,FieldGoalsAttempted,FieldGoalsMade,ExtraPointsMade,TwoPointConversionPasses,TwoPointConversionRuns,TwoPointConversionReceptions,FantasyPoints,FantasyPosition,PlayerSeasonID,ExtraPointsAttempted,AuctionValue,AuctionValuePPR,FantasyPointsFanDuel,FieldGoalsMade0to19,FieldGoalsMade20to29,FieldGoalsMade30to39,FieldGoalsMade40to49,FieldGoalsMade50Plus,FantasyPointsDraftKings,AverageDraftPosition,AverageDraftPositionPPR,TeamID
23627,1,2023,IND,25,Rodney Thomas II,S,DEF,17,17,0.00,0.00,0.00,0,0,0,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,42.20,21.10,2.00,0.10,0.70,0.20,5.30,1.00,0.50,0.10,2.30,0.20,0.00,0.00,0.00,0.00,0.00,0.00,73.72,DB,,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,14
23660,1,2023,IND,50,Segun Olubi,LB,DEF,17,0,0.00,0.00,0.00,0,0,0,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.80,2.40,0.40,0.00,0.00,0.00,0.20,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.90,LB,,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,14
23677,1,2023,IND,33,Dallis Flowers,CB,DEF,17,17,0.00,0.00,0.00,0,0,0,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,37.10,18.60,1.50,0.20,1.40,0.40,7.00,0.90,0.40,0.00,0.60,0.10,0.00,0.00,0.00,0.00,0.00,0.00,62.14,DB,,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,14
23681,1,2023,IND,39,Darrell Baker Jr.,CB,DEF,17,17,0.00,0.00,0.00,0,0,0,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,37.00,18.50,1.40,0.00,0.00,0.00,7.20,1.00,0.50,0.00,0.80,0.10,0.00,0.00,0.00,0.00,0.00,0.00,62.35,DB,,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,14
23817,1,2023,IND,43,Trevor Denbow,S,DEF,17,0,0.00,0.00,0.00,0,0,0,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.50,6.20,0.60,0.20,1.40,0.40,1.00,0.30,0.10,0.00,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19.94,DB,,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,14
24117,1,2023,IND,5,Anthony Richardson,QB,OFF,17,17,468.90,271.40,3115.80,57.8,6.6,11.5,17.30,13.50,77.56,0.00,0.00,0.00,153.70,798.70,5.2,6.00,0.00,0.00,0.00,0.00,0,0.00,0.00,3.40,3.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,275.90,QB,,0.00,3,3,289.40,0.00,0.00,0.00,0.00,0.00,292.80,112.00,117.00,14
24145,1,2023,IND,1,Josh Downs,WR,OFF,17,17,0.00,0.00,0.00,0,0,0,0.00,0.00,0,0.00,0.00,0.00,2.00,11.40,5.5,0.00,0.00,74.00,36.20,445.00,12.4,2.30,0.00,0.10,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,59.24,WR,,0.00,1,0,77.34,0.00,0.00,0.00,0.00,0.00,95.54,242.00,258.00,14
24204,1,2023,IND,26,Evan Hull,RB,OFF,17,17,0.00,0.00,0.00,0,0,0,0.00,0.00,0,0.00,0.00,0.00,64.80,267.60,4.1,1.70,0.00,17.90,13.20,105.80,8.2,0.50,0.00,0.30,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,49.94,RB,,0.00,0,0,56.54,0.00,0.00,0.00,0.00,0.00,63.44,707.00,265.00,14
24208,1,2023,IND,40,Jaylon Jones,CB,DEF,17,0,0.00,0.00,0.00,0,0,0,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.30,6.20,0.50,0.00,0.00,0.00,2.40,0.30,0.20,0.00,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.70,DB,,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,14
24229,1,2023,IND,31,Daniel Scott,S,DEF,7,0,0.00,0.00,0.00,0,0,0,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.30,0.60,0.00,0.00,0.00,0.00,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.70,DB,,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,14
